"No.","Time","Source","Destination","Protocol","Length","Info"
"217","22:28:38,658646","controller","host","HCI_EVT","8","Rcvd Command Complete (Vendor Command 0x0154 [opcode 0xFD54])"
"218","22:28:38,658679","host","controller","HCI_CMD","5","Sent LE Set Address Resolution Enable"
"219","22:28:38,659096","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Address Resolution Enable)"
"220","22:28:38,659128","host","controller","HCI_CMD","43","Sent LE Add Device to Resolving List"
"221","22:28:38,659603","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Add Device to Resolving List)"
"222","22:28:38,659636","host","controller","HCI_CMD","5","Sent LE Set Address Resolution Enable"
"223","22:28:38,660107","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Address Resolution Enable)"
"224","22:28:38,660142","host","controller","HCI_CMD","12","Sent Vendor Command 0x0154 (opcode 0xFD54)"
"225","22:28:38,660746","controller","host","HCI_EVT","8","Rcvd Command Complete (Vendor Command 0x0154 [opcode 0xFD54])"
"226","22:28:38,660795","host","controller","HCI_CMD","5","Sent LE Set Address Resolution Enable"
"227","22:28:38,661354","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Address Resolution Enable)"
"228","22:28:38,661398","host","controller","HCI_CMD","43","Sent LE Add Device to Resolving List"
"229","22:28:38,661890","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Add Device to Resolving List)"
"230","22:28:38,661937","host","controller","HCI_CMD","5","Sent LE Set Address Resolution Enable"
"231","22:28:38,662450","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Address Resolution Enable)"
"232","22:28:38,662496","host","controller","HCI_CMD","12","Sent Vendor Command 0x0154 (opcode 0xFD54)"
"233","22:28:38,663032","controller","host","HCI_EVT","8","Rcvd Command Complete (Vendor Command 0x0154 [opcode 0xFD54])"
"234","22:28:38,663068","host","controller","HCI_CMD","5","Sent LE Set Address Resolution Enable"
"235","22:28:38,663721","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Address Resolution Enable)"
"236","22:28:38,663762","host","controller","HCI_CMD","43","Sent LE Add Device to Resolving List"
"237","22:28:38,664262","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Add Device to Resolving List)"
"238","22:28:38,664297","host","controller","HCI_CMD","5","Sent LE Set Address Resolution Enable"
"239","22:28:38,664858","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Address Resolution Enable)"
"240","22:28:38,664925","host","controller","HCI_CMD","12","Sent Vendor Command 0x0154 (opcode 0xFD54)"
